Site,Sample Date,pH †(Unit),Alkalinity (mg/L CaCO3),Calcium (mg/L),Specific Conductance ( µS/cm), Temperature † (°F),ortho-Phosphate †† (mg/L),Lead (µg/L),Copper (mg/L)
1S03A,07/01/2014,7.22,,,84,60,2.13,,
1S03B,07/01/2014,7.56,,,85,59,1.98,,
1S04,07/01/2014,7.24,,,85,62,1.99,,
1S03A,08/01/2014,7.29,,,84,63,2.01,,
1S03B,08/01/2014,7.54,,,88,64,1.9,,
1S04,08/01/2014,7.34,,,87,64,2.01,,
1S03A,09/01/2014,7.33,,,83,66,2.02,,
1S03B,09/01/2014,7.57,,,86,66,1.95,,
1S04,09/01/2014,7.24,,,84,65,2.14,,
1S03A,10/01/2014,7.31,,,81,64,2.04,,
1S03B,10/01/2014,7.49,,,84,64,2.17,,
1S04,10/01/2014,7.3,,,81,65,2.07,,
1S03A,11/01/2014,7.09,,,81,57,2.12,,
1S03B,11/01/2014,7.34,,,86,57,2.28,,
1S04,11/01/2014,7.18,,,85,58,2.05,,
1S03A,12/01/2014,7.39,,,86,48,2.18,,
1S03B,12/01/2014,7.49,,,87,48,2.03,,
1S04,12/01/2014,7.39,,,86,48,2.16,,
1S03A,07/02/2014,7.31,,,84,61,2.01,,
1S03B,07/02/2014,7.57,,,88,61,2.12,,
1S04,07/02/2014,7.34,,,86,63,1.99,,
1S03A,08/02/2014,7.29,,,83,62,1.94,,
1S03B,08/02/2014,7.43,,,87,63,2.11,,
1S04,08/02/2014,7.34,,,85,63,1.98,,
1S03A,09/02/2014,7.37,,,83,66,2.04,,
1S03B,09/02/2014,7.63,,,87,65,2.09,,
1S04,09/02/2014,7.32,,,85,65,2.14,,
1S03A,10/02/2014,7.47,,,81,64,2.1,,
1S03B,10/02/2014,7.74,,,84,64,2,,
1S04,10/02/2014,7.35,,,83,64,2.13,,
1S03A,11/02/2014,7.34,,,81,57,2,,
1S03B,11/02/2014,7.31,,,87,55,2.11,,
1S04,11/02/2014,7.18,,,85,56,2.18,,
1S03A,12/02/2014,7.39,15.5,6.15,87,47,2.13,0,0.006
1S03B,12/02/2014,7.38,16.3,6.12,90,46,2.14,0,0.006
1S04,12/02/2014,7.32,,,89,47,2.07,,
1S07*,12/02/2014,7.36,14.8,6.07,87,47,2.18,0,0.006
1S03A,07/03/2014,7.3,,,84,61,2.02,,
1S03B,07/03/2014,7.56,,,88,62,1.95,,
1S04,07/03/2014,7.31,,,85,62,2.08,,
1S03A,08/03/2014,7.3,,,83,64,1.84,,
1S03B,08/03/2014,7.49,,,86,63,2.03,,
1S04,08/03/2014,7.34,,,84,64,1.96,,
1S03A,09/03/2014,7.11,,,81,65,2.1,,
1S03B,09/03/2014,7.35,,,86,65,1.95,,
1S04,09/03/2014,7.29,,,83,64,2.09,,
1S03A,10/03/2014,7.35,,,82,64,2.1,,
1S03B,10/03/2014,7.57,,,83,63,1.98,,
1S04,10/03/2014,7.33,,,83,65,2.27,,
1S03A,11/03/2014,7.44,,,78,57,2.11,,
1S03B,11/03/2014,7.46,,,84,55,1.89,,
1S04,11/03/2014,7.28,,,83,55,2.13,,
1S03A,12/03/2014,7.42,,,87,47,2.24,,
1S03B,12/03/2014,7.46,,,90,47,2.1,,
1S04,12/03/2014,7.36,,,87,47,1.7,,
1S03A,07/04/2014,7.25,,,84,60,2.2,,
1S03B,07/04/2014,7.48,,,87,61,2.11,,
1S04,07/04/2014,7.27,,,84,62,1.98,,
1S03A,08/04/2014,7.24,,,84,64,2.17,,
1S03B,08/04/2014,7.51,,,87,64,1.9,,
1S04,08/04/2014,7.3,,,85,64,2.04,,
1S03A,09/04/2014,7.36,,,82,66,2.06,,
1S03B,09/04/2014,7.61,,,87,66,2.06,,
1S04,09/04/2014,7.32,,,83,66,2.03,,
1S03A,10/04/2014,7.2,,,82,64,2.06,,
1S03B,10/04/2014,7.47,,,85,64,1.99,,
1S04,10/04/2014,7.22,,,84,64,2,,
1S03A,11/04/2014,7.18,,,84,57,2.26,,
1S03B,11/04/2014,7.33,,,86,57,2.17,,
1S04,11/04/2014,7.11,,,85,56,2.18,,
1S03A,12/04/2014,7.32,,,88,46,2.28,,
1S03B,12/04/2014,7.49,,,89,46,2.26,,
1S04,12/04/2014,7.37,,,88,46,2.16,,
1S03A,07/05/2014,7.25,,,85,60,2.05,,
1S03B,07/05/2014,7.49,,,88,60,1.98,,
1S04,07/05/2014,7.27,,,86,60,1.94,,
1S03A,08/05/2014,7.27,15.2,5.54,83,64,2.14,0,0.007
1S03B,08/05/2014,7.48,16.5,5.51,86,64,1.96,0,0.007
1S04,08/05/2014,7.29,15.4,5.54,84,64,2.17,0,0.017
